max_abs_dV,exact_ln_ratio,lower,upper,first_order,force_rmse
2.999999999999999889e-01,-3.520379795966289277e-02,-3.651617000544234853e-02,-3.221319078249894330e-02,-3.152292825509592222e-02,8.327630512661793327e-01
2.999999999999999889e-01,9.061052236008258071e-03,7.006971837927575275e-03,1.118383466184678238e-02,1.006076297178463627e-02,6.576864456792435032e-01
2.999999999999999889e-01,-3.098837897658370064e-03,-3.173730357679488065e-03,-2.896443795305755561e-03,-2.883128254597449452e-03,2.301010062076828677e-01
2.999999999999999889e-01,9.676924107821975249e-03,8.968840172349834550e-03,1.223572778031450925e-02,1.157409958682627249e-02,3.922392631986405531e-01
2.999999999999999889e-01,1.385144967004060639e-02,1.332061148315953278e-02,1.513745660286229013e-02,1.630142416167117483e-02,8.271115868854707065e-01
2.999999999999999889e-01,1.164197353367852142e-02,1.041178982441121753e-02,1.865527163627392349e-02,1.821051420875899329e-02,7.763546550576116978e-01
2.999999999999999889e-01,2.964050249720688764e-03,2.357831902049634110e-03,3.364445910817926919e-03,3.010851198421307315e-03,3.397189741779220729e-01
2.999999999999999889e-01,-1.890739153006574733e-02,-2.218286174115556564e-02,-1.582260453788126436e-02,-1.736532730287792398e-02,5.885995439025210052e-01
2.999999999999999889e-01,8.642693304393699386e-03,7.520192539785734535e-03,9.023534349074113087e-03,8.684004161361244187e-03,4.685167534493537844e-01
2.999999999999999889e-01,-1.028984110553625604e-02,-1.219690507468536300e-02,-6.727956704192614157e-03,-7.669462546350175325e-03,5.271774110526123991e-01
2.999999999999999889e-01,-2.226481778679723772e-02,-2.361517406006266237e-02,-2.022026068335293011e-02,-2.036825462047771318e-02,6.367566207338449802e-01
1.000000000000000000e+00,-2.182235385441853165e-02,-2.982225338478303872e-02,-1.520857082218614320e-02,-1.616562221499241725e-02,1.293543246224555077e+00
1.000000000000000000e+00,-3.270556532904680871e-03,-1.677436162448385504e-02,2.946633795798003080e-02,1.730227219723422249e-02,2.123384083114346677e+00
1.000000000000000000e+00,-1.507630814810929365e-01,-1.560298136294204774e-01,-1.421534890157822861e-01,-1.279757845165722385e-01,2.569916377606322744e+00
1.000000000000000000e+00,2.227239619307254739e-02,-1.192609154211604627e-02,3.653821497799322748e-02,2.630196988597682806e-02,2.033446225970670262e+00
1.000000000000000000e+00,4.289715420990832667e-02,2.360879201568695518e-02,5.234481147767391235e-02,4.065637156171195837e-02,1.312005731209864079e+00
1.000000000000000000e+00,7.148826110505396118e-03,-1.182883184177094260e-02,1.662316038312214306e-02,2.334409822813195146e-02,2.771422617747735906e+00
1.000000000000000000e+00,6.068749025160987548e-02,4.802266165869539805e-02,8.948488587080345724e-02,9.342315297408546049e-02,3.199855370707309188e+00
1.000000000000000000e+00,-2.145419034262895444e-02,-3.141790654305090524e-02,4.383768885422856254e-04,3.298779229527773471e-03,3.180043549673834402e+00
1.000000000000000000e+00,-2.354906308946128415e-02,-3.644240095159137494e-02,1.754059524228449019e-02,1.159226874739821556e-02,2.513602012858883405e+00
1.000000000000000000e+00,3.709116642029104509e-03,-1.295544405807595723e-02,8.489764935905669274e-03,3.752457392346308929e-03,2.102146963314031947e+00
1.000000000000000000e+00,6.027717768171783272e-03,4.346130892940860274e-03,7.701147550521519197e-03,6.818605705867987476e-03,8.807988550874223943e-01
1.000000000000000000e+00,-4.246563835422656474e-02,-4.842295985288817134e-02,-3.628954751182562888e-02,-3.336256071696279413e-02,1.698620752190654670e+00
1.000000000000000000e+00,-1.910402310969949724e-02,-2.946429660882834284e-02,-1.516181850861135494e-02,-1.819812311209600270e-02,1.188438726824121439e+00
1.000000000000000000e+00,2.617028942995811361e-02,1.561169071310573864e-02,4.025198137133106230e-02,4.904150166159425284e-02,2.139199379062187045e+00
1.000000000000000000e+00,9.601359955085303488e-02,9.180079747461396267e-02,1.127478739601522756e-01,1.486517978298146636e-01,2.447729016087986320e+00
1.000000000000000000e+00,-5.028537629151780264e-02,-1.026829651102992291e-01,-3.155084333774683947e-02,-4.905766843603193150e-02,2.968846882552357069e+00
1.000000000000000000e+00,2.564909643509849166e-02,1.541034882283079388e-02,3.247103385307377466e-02,2.604010374246946979e-02,9.968417614538606086e-01
