exact_ln_ratio,signed_pred_true_phi,squared_Ldyn_over_lambda,force_rmse,signed_pred_model_phi,max_abs_dV
-2.953757050210919621e-03,-3.587231423708285225e-03,8.037709655849567980e+00,1.000000000000000056e-01,-2.319524094383101052e-03,6.581408150813322644e-02
2.460537328390046546e-02,2.436261623792997447e-02,8.825083601459131344e-02,1.000000000000000056e-01,2.484628427074992568e-02,6.478216750498501375e-02
-2.002372879016352421e-03,-1.988177647218029431e-03,3.019821544439228456e-01,9.999999999999999167e-02,-2.017459250141817942e-03,1.360621967195189443e-02
2.077741185519394740e-01,2.081545579453359662e-01,1.898726086390399814e+01,1.000000000000000056e-01,2.073864692837469603e-01,2.440638221719136913e-01
-6.674504268276125647e-03,-6.666308131564705440e-03,1.219999721182448038e+00,1.000000000000000056e-01,-6.682609337328907807e-03,1.488145748194121334e-02
1.347293474566204317e-02,1.338481447997232933e-02,1.262298987501159431e+00,1.000000000000000056e-01,1.356043362773991581e-02,3.494750389749838593e-02
-9.362904800659809304e-03,-9.370614965186038064e-03,2.817767302359912018e-01,9.999999999999999167e-02,-9.355419937709540459e-03,3.104985112375984249e-02
2.285032574944147188e-02,2.287414825755082828e-02,3.056654633655312203e+00,1.000000000000000056e-01,2.282646513126627627e-02,4.807072332140109594e-02
-4.052872476270517714e-03,-3.544885448687524424e-03,5.303745967069213663e+01,1.000000000000000056e-01,-4.546939264132246299e-03,2.279224431403411577e-01
1.096318386620968310e-01,1.100311869700519168e-01,4.154535516845511012e+01,1.000000000000000194e-01,1.091998905541885917e-01,1.259187040107666300e-01
3.021354237262710574e-02,3.024998736864307342e-02,9.417164939876414564e+00,1.000000000000000056e-01,3.017598104294513459e-02,5.330345153029279054e-02
1.271926711488310102e-01,1.302567613509504063e-01,9.621185345064047567e+01,1.000000000000000056e-01,1.240931090736499404e-01,2.019504795664240904e-01
6.462820909902260505e-03,6.539786315025318021e-03,2.498275752295318242e+01,1.000000000000000056e-01,6.385032943750598190e-03,3.632834290210035927e-02
4.420156403035475912e-02,4.320184335939939585e-02,8.257299024757339012e+00,9.999999999999999167e-02,4.520185367714919106e-02,9.785835656530450510e-02
-2.875250609186292411e-02,-2.915194628892192955e-02,1.715991279239600653e-01,9.999999999999999167e-02,-2.835311461002065769e-02,6.897812964200575325e-02
3.900761860453111352e-02,3.647170562019383389e-02,1.490174187905619085e+01,1.000000000000000056e-01,4.154075364732040532e-02,1.247247887233011027e-01
-1.719941257203926998e-03,-1.686248336994028169e-03,1.017019647516308467e+01,1.000000000000000056e-01,-1.754853006686013083e-03,1.605458337273659927e-02
-1.832981946004680340e-02,-1.494164704504258832e-02,1.090606328711261028e+02,1.000000000000000056e-01,-2.169610729649107742e-02,1.316488820796145043e-01
4.865856720379148912e-04,8.603689194173941334e-04,4.286622442787399478e+01,9.999999999999997780e-02,1.129964361673902644e-04,1.023990105784938209e-01
-6.303857613973028184e-02,-6.282843788106247385e-02,1.310149731617602598e+01,9.999999999999999167e-02,-6.324801620062533991e-02,8.007149564890522764e-02
2.349515549277382889e-02,2.330097177780360296e-02,2.921648886218835450e+00,9.999999999999999167e-02,2.368735869377372807e-02,3.784333608942332811e-02
-9.500889256832435736e-03,-9.459996574786883050e-03,1.203728013932652940e+00,1.000000000000000056e-01,-9.541844502674277917e-03,3.962679377472866360e-02
2.891293647471950695e-04,3.305524398758311966e-04,7.874060042592565090e+00,9.999999999999999167e-02,2.464452425842391303e-04,1.835295542633469043e-02
2.366882573856273278e-02,2.399076775570076897e-02,1.603514404214605804e+01,1.000000000000000056e-01,2.334257924417264610e-02,8.902262643478299486e-02
-9.741461002461140536e-03,-9.698328678418287677e-03,6.930105349015183158e+00,1.000000000000000056e-01,-9.785550878914243966e-03,2.592250936453114468e-02
-6.897842859181228282e-03,-6.877192140558215962e-03,1.343345167232026238e+00,1.000000000000000056e-01,-6.919596543234702093e-03,2.681992275088227948e-02
5.584793390932273061e-02,6.960127934897014645e-02,1.618528252745235534e+02,9.999999999999999167e-02,4.465337800762843312e-02,1.023220529599050632e+00
2.054711555615846164e-03,2.077887659260638318e-03,3.045601344126024901e-01,1.000000000000000056e-01,2.031578323013009165e-03,1.641605093425472020e-02
8.900981138791945468e-02,8.921566672624116345e-02,1.479604855888615589e+01,1.000000000000000056e-01,8.880273340512538638e-02,1.408950046379863763e-01
8.009242428759320853e-02,7.977590803286427334e-02,1.331955572017698763e+01,1.000000000000000333e-01,8.040690608337922041e-02,7.925026654608074983e-02
-1.865862035213980141e-01,-1.857114667321194124e-01,2.731078000046013798e+01,9.999999999999999167e-02,-1.874525893644976848e-01,2.609488781373005550e-01
6.249960479496494831e-02,6.242486851025333405e-02,1.217530737789597062e+01,1.000000000000000056e-01,6.257256083039919314e-02,6.873482197226872537e-02
-8.241309296322589344e-04,-8.019620750773844443e-04,1.249254022931522767e+00,1.000000000000000056e-01,-8.462346182726024563e-04,1.436506772642915167e-02
