B,eps_target,eps_hat,ln_nu_ratio,h,bound,h_over_bound,lin_ratio
12,0.1,0.100547,-0.0115249,6.59039e-05,39.4092,1.67229e-06,0.00129815
12,0.1,0.0998669,-0.00144764,1.04683e-06,38.8777,2.69262e-08,0.000164171
12,0.1,0.0975398,-0.0687871,0.00226009,37.087,6.09402e-05,0.00798695
12,0.1,0.0991294,0.105742,0.00600094,38.3056,0.000156659,0.012081
12,0.1,0.154031,-1.07737,0.292677,92.4853,0.00316458,0.0792162
12,0.1,0.0997864,0.0218897,0.000243105,38.8151,6.26316e-06,0.00248442
12,0.1,0.099241,0.0102681,5.30791e-05,38.392,1.38256e-06,0.0011718
12,0.1,0.100748,-0.0198312,0.000194057,39.5666,4.90456e-06,0.0022293
12,0.1,0.100093,-0.00189891,1.80065e-06,39.0539,4.61069e-08,0.000214861
12,0.1,0.100032,-0.00333666,5.55429e-06,39.0061,1.42395e-07,0.000377773
12,0.1,0.100468,-0.00792235,3.12166e-05,39.3475,7.93357e-07,0.00089306
12,0.1,0.101427,-0.116528,0.0062843,40.102,0.000156708,0.0130116
12,0.1,0.101136,0.0174736,0.000154454,39.8718,3.87377e-06,0.00195675
12,0.1,0.0998727,0.0201588,0.000205941,38.8822,5.29653e-06,0.00228599
12,0.1,0.100562,-0.0383302,0.000716096,39.4208,1.81654e-05,0.00431681
12,0.1,0.10121,0.0596855,0.00185367,39.9302,4.64227e-05,0.00667887
12,0.1,0.91011,2.33697,14.8375,3228.83,0.00459531,0.0290814
12,0.1,0.100405,-0.0295416,0.000427855,39.2976,1.08876e-05,0.00333224
12,0.1,0.101262,0.0717625,0.0027015,39.9716,6.75854e-05,0.00802614
12,0.1,0.0992949,0.0183789,0.000170976,38.4336,4.44861e-06,0.00209628
12,0.1,0.104928,-0.109266,0.00555195,42.9179,0.000129362,0.0117937
12,0.1,0.10022,0.0352635,0.000636571,39.1529,1.62586e-05,0.00398501
12,0.1,0.0999853,0.000440138,9.68893e-08,38.9699,2.48626e-09,4.98551e-05
12,0.1,0.0986938,0.321047,0.0640157,37.9697,0.00168597,0.0368413
