x,V,nu
-6.952635090060041989e-01,2.135076003204925410e+00,1.173440928384169961e-02
-6.928619079386257873e-01,2.162720599273741051e+00,1.208496114235116381e-02
-6.904603068712475977e-01,2.190446436823447307e+00,1.244636758556054955e-02
-6.880587058038694082e-01,2.218251676365074587e+00,1.281896921012804814e-02
-6.856571047364912186e-01,2.246134484796769026e+00,1.320311694821419204e-02
-6.832555036691128070e-01,2.274093035403790708e+00,1.359917235268074016e-02
-6.808539026017346174e-01,2.302125507858507447e+00,1.400750788981833424e-02
-6.784523015343564278e-01,2.330230088220409446e+00,1.442850723841888720e-02
-6.760507004669780162e-01,2.358404968936102186e+00,1.486256559337278613e-02
-6.736490993995998267e-01,2.386648348839295330e+00,1.531008997820284406e-02
-6.712474983322216371e-01,2.414958433150823591e+00,1.577149956287698593e-02
-6.688458972648434475e-01,2.443333433478631189e+00,1.624722598879532048e-02
-6.664442961974650359e-01,2.471771567817783843e+00,1.673771370045912948e-02
-6.640426951300868463e-01,2.500271060550447011e+00,1.724342028324279616e-02
-6.616410940627086568e-01,2.528830142445913420e+00,1.776481680945662944e-02
-6.592394929953302452e-01,2.557447050660590637e+00,1.830238818905283518e-02
-6.568378919279520556e-01,2.586120028737988630e+00,1.885663352898805586e-02
-6.544362908605738660e-01,2.614847326608744194e+00,1.942806649851097980e-02
-6.520346897931956764e-01,2.643627200590604520e+00,2.001721570159487734e-02
-6.496330887258172648e-01,2.672457913388430750e+00,2.062462505647194924e-02
-6.472314876584390753e-01,2.701337734094197085e+00,2.125085418132473952e-02
-6.448298865910608857e-01,2.730264938186993451e+00,2.189647878692425539e-02
-6.424282855236824741e-01,2.759237807533029496e+00,2.256209107587750159e-02
-6.400266844563042845e-01,2.788254630385617272e+00,2.324830014993325283e-02
-6.376250833889260949e-01,2.817313701385193880e+00,2.395573242288624727e-02
-6.352234823215479054e-01,2.846413321559308152e+00,2.468503203972630469e-02
-6.328218812541694938e-01,2.875551798322623309e+00,2.543686130278061466e-02
-6.304202801867913042e-01,2.904727445476913861e+00,2.621190110515654245e-02
-6.280186791194131146e-01,2.933938583211072704e+00,2.701085136961131269e-02
-6.256170780520347030e-01,2.963183538101108905e+00,2.783443149331249478e-02
-6.232154769846565134e-01,2.992460643110137042e+00,2.868338080052194872e-02
-6.208138759172783239e-01,3.021768237588396300e+00,2.955845899976653271e-02
-6.184122748499001343e-01,3.051104667273233595e+00,3.046044664686889739e-02
-6.160106737825217227e-01,3.080468284289118230e+00,3.139014561522707192e-02
-6.136090727151435331e-01,3.109857447147622356e+00,3.234837956985611024e-02
-6.112074716477653435e-01,3.139270520747441395e+00,3.333599444825566943e-02
-6.088058705803869319e-01,3.168705876374386499e+00,3.435385894624919112e-02
-6.064042695130087424e-01,3.198161891701372550e+00,3.540286500667505498e-02
-6.040026684456305528e-01,3.227636950788440373e+00,3.648392831556002136e-02
-6.016010673782523632e-01,3.257129444082740299e+00,3.759798880255256492e-02
-5.991994663108739516e-01,3.286637768418539274e+00,3.874601114318001333e-02
-5.967978652434957620e-01,3.316160327017213305e+00,3.992898526775977980e-02
-5.943962641761175725e-01,3.345695529487258568e+00,4.114792687099358415e-02
-5.919946631087393829e-01,3.375241791824284743e+00,4.240387792693357111e-02
-5.895930620413609713e-01,3.404797536411016790e+00,4.369790720765670544e-02
-5.871914609739827817e-01,3.434361192017288289e+00,4.503111080115661941e-02
-5.847898599066045922e-01,3.463931193800052988e+00,4.640461263398842906e-02
-5.823882588392261805e-01,3.493505983303379914e+00,4.781956499440726677e-02
-5.799866577718479910e-01,3.523084008458447602e+00,4.927714905726915395e-02
-5.775850567044698014e-01,3.552663723583551203e+00,5.077857540969266115e-02
-5.751834556370916118e-01,3.582243589384102922e+00,5.232508457549325809e-02
-5.727818545697132002e-01,3.611822072952629803e+00,5.391794754180410237e-02
-5.703802535023350107e-01,3.641397647768763512e+00,5.555846628268400894e-02
-5.679786524349568211e-01,3.670968793699265209e+00,5.724797428202662436e-02
-5.655770513675784095e-01,3.700533996998000230e+00,5.898783705527235049e-02
-5.631754503002002199e-01,3.730091750305950082e+00,6.077945266672648422e-02
-5.607738492328220303e-01,3.759640552651211109e+00,6.262425224507336963e-02
-5.583722481654438408e-01,3.789178909448998933e+00,6.452370049395067531e-02
-5.559706470980654291e-01,3.818705332501638239e+00,6.647929619779194277e-02
-5.535690460306872396e-01,3.848218339998565440e+00,6.849257272321841727e-02
-5.511674449633090500e-01,3.877716456516339782e+00,7.056509851251922816e-02
-5.487658438959306384e-01,3.907198213018630462e+00,7.269847757057719406e-02
-5.463642428285524488e-01,3.936662146856218847e+00,7.489434994529145517e-02
-5.439626417611742593e-01,3.966106801767004697e+00,7.715439219674544158e-02
-5.415610406937960697e-01,3.995530727876001276e+00,7.948031785836735807e-02
-5.391594396264176581e-01,4.024932481695339348e+00,8.187387788705215164e-02
-5.367578385590394685e-01,4.054310626124253858e+00,8.433686110076622777e-02
