s,eta,winding,error
0.09,0.46875,0,-0.35261490273639007
0.09,0.484375,0,-0.35779183539131526
0.09,0.5,0,-0.3595230370825095
0.09,0.515625,0,-0.3577918353913153
0.09,0.53125,0,-0.35261490273639007
0.09,0.546875,0,-0.34404209580920003
0.09,0.5625,0,-0.3321559754268269
0.09,0.578125,0,-0.3170710114261673
0.09,0.59375,0,-0.29893248025682784
0.09,0.609375,0,-0.2779150658894988
0.09,0.625,0,-0.2542211775138251
0.09,0.640625,0,-0.2280790002272614
0.09,0.65625,0,-0.19974029748784486
0.09,0.671875,0,-0.16947798649446721
0.09,0.6875,0,-0.13758350984505638
0.09,0.703125,0,-0.1043640287850404
0.09,0.71875,0,-0.07013946507664334
0.09,0.734375,0,-0.0352394199774261
0.09,0.75,0,-6.604331048742456e-17
0.09,0.765625,0,0.03523941997742597
0.09,0.78125,0,0.07013946507664322
0.09,0.796875,0,0.10436402878504027
0.09,0.8125,0,0.13758350984505627
0.09,0.828125,0,0.1694779864944671
0.09,0.84375,0,0.19974029748784475
0.09,0.859375,0,0.22807900022726132
0.09,0.875,0,0.254221177513825
0.09,0.890625,0,0.27791506588949866
0.09,0.90625,0,0.2989324802568278
0.09,0.921875,0,0.3170710114261672
0.09,0.9375,0,0.3321559754268268
0.09,0.953125,0,0.3440420958092
0.09,0.96875,0,0.35261490273639007
0.09,0.984375,0,0.3577918353913153
0.09,1.0,0,0.3595230370825095
0.1,0.0,0,0.4493289641172217
0.1,0.015625,0,0.4471653223408986
0.1,0.03125,0,0.44069523406500233
0.1,0.046875,0,0.42998100977653975
0.1,0.0625,0,0.4151258333123995
0.1,0.078125,0,0.3962727681425968
0.1,0.09375,0,0.37360337959085055
0.1,0.109375,0,0.3473359862612625
0.1,0.125,0,0.3177235575108143
0.1,0.140625,0,0.28505127721617307
0.1,0.15625,0,0.24963379729706137
0.1,0.171875,0,0.21181220744626417
0.1,0.1875,0,0.17195075024942869
0.1,0.203125,0,0.1304333133298496
0.1,0.21875,0,0.08765973230080215
0.1,0.234375,0,0.04404194013001389
0.1,0.25,0,2.7513463883517572e-17
0.1,0.265625,0,-0.044041940130013835
0.1,0.28125,0,-0.08765973230080208
0.1,0.296875,0,-0.1304333133298495
0.1,0.3125,0,-0.17195075024942863
0.1,0.328125,0,-0.2118122074462641
0.1,0.34375,0,-0.2496337972970612
0.1,0.359375,0,-0.285051277216173
0.1,0.375,0,-0.3177235575108143
0.1,0.390625,0,-0.3473359862612625
0.1,0.40625,0,-0.3736033795908506
0.1,0.421875,0,-0.39627276814259677
0.1,0.4375,0,-0.4151258333123995
0.1,0.453125,0,-0.42998100977653975
0.1,0.46875,0,-0.44069523406500233
0.1,0.484375,0,-0.44716532234089856
0.1,0.5,0,-0.4493289641172217
0.1,0.515625,0,-0.4471653223408986
0.1,0.53125,0,-0.44069523406500233
0.1,0.546875,0,-0.42998100977653975
0.1,0.5625,0,-0.41512583331239955
0.1,0.578125,0,-0.3962727681425968
0.1,0.59375,0,-0.37360337959085066
0.1,0.609375,0,-0.34733598626126255
0.1,0.625,0,-0.3177235575108144
0.1,0.640625,0,-0.28505127721617324
0.1,0.65625,0,-0.2496337972970613
0.1,0.671875,0,-0.2118122074462642
0.1,0.6875,0,-0.1719507502494289
0.1,0.703125,0,-0.13043331332984964
0.1,0.71875,0,-0.0876597323008023
0.1,0.734375,0,-0.04404194013001375
0.1,0.75,0,-8.254039165055271e-17
0.1,0.765625,0,0.044041940130013585
0.1,0.78125,0,0.08765973230080214
0.1,0.796875,0,0.13043331332984945
0.1,0.8125,0,0.17195075024942874
0.1,0.828125,0,0.21181220744626406
0.1,0.84375,0,0.24963379729706117
0.1,0.859375,0,0.2850512772161731
0.1,0.875,0,0.31772355751081427
0.1,0.890625,0,0.3473359862612624
0.1,0.90625,0,0.37360337959085055
0.1,0.921875,0,0.3962727681425967
0.1,0.9375,0,0.4151258333123994
0.1,0.953125,0,0.42998100977653975
0.1,0.96875,0,0.4406952340650023
0.1,0.984375,0,0.4471653223408986
0.1,1.0,0,0.4493289641172217
0.11,0.0,0,0.5316613301341575
0.11,0.015625,0,0.5291012355117382
0.11,0.03125,0,0.5214456067551841
0.11,0.046875,0,0.5087681717544134
0.11,0.0625,0,0.4911910211386743
