exact,signed,signedhat,absexact,squared
0.0173978,0.0172508,0.017542,0.0173978,6.3387
0.0117459,0.0117335,0.0117581,0.0117459,0.818439
0.00998556,0.00990188,0.0100682,0.00998556,1.2691
0.0261961,0.0261549,0.0262352,0.0261961,5.39763
-0.00138653,-0.00138507,-0.00138769,0.00138653,2.85593
-0.0215348,-0.0214873,-0.0215825,0.0215348,2.50097
-0.00278587,-0.00262444,-0.00294857,0.00278587,17.7304
0.0102646,0.0105109,0.0100145,0.0102646,19.4409
-0.00752944,-0.00749812,-0.00756144,0.00752944,2.49331
-0.0839383,-0.0843976,-0.0834773,0.0839383,12.7516
-0.00572956,-0.00570968,-0.00574933,0.00572956,0.106791
-0.0186015,-0.0185547,-0.0186485,0.0186015,7.65786
0.0167371,0.0167543,0.0167188,0.0167371,5.89609
-0.00267188,-0.00269574,-0.0026482,0.00267188,0.099282
-0.00198134,-0.00115068,-0.00281193,0.00198134,68.6395
-0.0727108,-0.0725819,-0.0728403,0.0727108,13.8168
5.33134e-05,6.61168e-05,3.98974e-05,0.0001,6.60594
0.00519746,0.00521271,0.00518219,0.00519746,0.83021
-0.0570644,0.0169684,-0.136002,0.0570644,579.317
0.0208909,0.0209259,0.0208558,0.0208909,3.34543
0.0120767,0.0125804,0.0115716,0.0120767,39.785
-0.00843025,-0.00917208,-0.00768838,0.00843025,5.29287
-0.0403048,-0.0403168,-0.0402941,0.0403048,28.9951
0.00130539,0.00130836,0.00130175,0.00130539,1.31438
0.0438531,0.0439018,0.0438028,0.0438531,13.6649
-0.0835926,-0.0819054,-0.0853007,0.0835926,35.6782
0.00633022,0.00674697,0.00593232,0.00633022,36.5355
0.0349667,0.0359764,0.0339774,0.0349667,29.1482
0.0506692,0.0494775,0.0518558,0.0506692,0.922699
0.0300817,0.0289413,0.0312167,0.0300817,9.11584
0.0334582,0.033535,0.0333813,0.0334582,20.1935
-0.00284795,-0.0021594,-0.00353767,0.00284795,53.2375
-0.00745506,-0.00743796,-0.00747223,0.00745506,2.46068
-0.0141619,-0.0142013,-0.014122,0.0141619,5.55344
0.0085953,0.00859914,0.00859193,0.0085953,8.37917
0.000394472,0.000404227,0.000384501,0.000394472,0.151955
0.00666997,0.0066527,0.00668682,0.00666997,3.29109
0.0244105,0.0245146,0.0243053,0.0244105,9.72696
-0.0384287,-0.0415078,-0.0353525,0.0384287,13.2584
0.00568761,0.00570791,0.00566715,0.00568761,1.63953
0.111489,0.111019,0.111956,0.111489,12.2609
0.0653968,0.0626362,0.0681496,0.0653968,5.37025
-0.0210287,-0.0213991,-0.0206579,0.0210287,1.0354
0.025997,0.0270777,0.0249123,0.025997,37.7274
-0.0455621,-0.0466689,-0.0444541,0.0455621,1.83393
